epsilon,J,primal
0.275,3.2214,6.1482
0.2775,3.719,6.825
0.28,4.3385,7.5543
0.2825,5.07,8.2933
0.285,5.8899,8.9881
0.2875,6.7618,9.575
0.29,7.639,9.9715
0.2925,8.4693,10.001
0.295,9.1988,10.003
0.2975,9.7734,10.004
0.3,10,10.004
0.3025,10,10.004
0.305,10,10.004
0.3075,10,10.004
0.31,10,10.004
0.3125,10,10.004
0.315,10,10.004
0.3175,10,10.004
0.32,10,10.005
0.3225,10,10.005
0.325,10,10.005
0.3275,10,10.005
0.33,10,10.005
0.3325,10,10.005
0.335,10,10.005
0.3375,10,10.005
0.34,10,10.005
0.3425,10,10.005
0.345,10,10.005
0.3475,10,10.005
0.35,10,10.005
0.3525,10,10.005
0.355,10,10.005
0.3575,10,10.005
0.36,10,10.005
0.3625,10,10.005
0.365,10,10.005
0.3675,10,10.005
0.37,10,10.005
0.3725,10,10.005
0.375,10,10.005
0.3775,10,10.005
0.38,10,10.005
0.3825,10,10.005
0.385,10,10.005
0.3875,10,10.005
0.39,10,10.005
0.3925,10,10.006
0.395,10,10.006
0.3975,10,10.006
0.4,10,10.006
0.4025,10,10.006
0.405,10,10.006
0.4075,10,10.006
0.41,10,10.006
0.4125,10,10.006
0.415,10,10.006
0.4175,10,10.006
0.42,10,10.006
0.4225,10,10.006
0.425,10,10.006
0.4275,10,10.006
0.43,10,10.006
0.4325,10,10.006
0.435,10,10.006
0.4375,10,10.006
0.44,10,10.006
0.4425,10,10.006
0.445,10,10.006
0.4475,10,10.006
0.45,10,10.006
0.4525,10,10.006
0.455,10,10.006
0.4575,10,10.006
0.46,10,10.006
0.4625,10,10.007
0.465,10,10.007
0.4675,10,10.007
0.47,10,10.007
0.4725,10,10.007
0.475,10,10.007
0.4775,10,10.007
0.48,10,10.007
0.4825,10,10.007
0.485,10,10.007
0.4875,10,10.007
0.49,10,10.007
0.4925,10,10.007
0.495,10,10.007
0.4975,10,10.007
0.5,10,10.007
0.5025,10,10.007
0.505,10,10.007
0.5075,10,10.007
0.51,10,10.007
0.5125,10,10.007
0.515,10,10.007
0.5175,10,10.007
0.52,10,10.007
0.5225,10,10.007
0.525,10,10.007
0.5275,10,10.007
0.53,10,10.007
0.5325,10,10.008
0.535,10,10.008
0.5375,10,10.008
0.54,10,10.008
0.5425,10,10.008
0.545,10,10.008
0.5475,10,10.008
0.55,10,10.008
0.5525,10,10.008
0.555,10,10.008
0.5575,10,10.008
0.56,10,10.008
0.5625,10,10.008
0.565,10,10.008
0.5675,10,10.008
0.57,10,10.008
0.5725,10,10.008
0.575,10,10.008
0.5775,10,10.008
0.58,10,10.008
0.5825,10,10.008
0.585,10,10.008
0.5875,10,10.008
0.59,10,10.008
0.5925,10,10.008
0.595,10,10.008
0.5975,10,10.008
0.6,10,10.008
0.6025,10,10.008
0.605,10,10.009
0.6075,10,10.009
0.61,10,10.009
0.6125,10,10.009
0.615,10,10.009
0.6175,10,10.009
0.62,10,10.009
0.6225,10,10.009
0.625,10,10.009
0.6275,10,10.009
0.63,10,10.009
0.6325,10,10.009
0.635,10,10.009
0.6375,10,10.009
0.64,10,10.009
0.6425,10,10.009
0.645,10,10.009
0.6475,10,10.009
0.65,10,10.009
0.6525,10,10.009
0.655,10,10.009
0.6575,10,10.009
0.66,10,10.009
0.6625,10,10.009
0.665,10,10.009
0.6675,10,10.009
0.67,10,10.009
0.6725,10,10.009
0.675,10,10.01
0.6775,10,10.01
0.68,10,10.01
0.6825,10,10.01
0.685,10,10.01
0.6875,10,10.01
0.69,10,10.01
0.6925,10,10.01
0.695,10,10.01
0.6975,10,10.01
0.7,10,10.01
0.7025,10,10.01
0.705,10,10.01
0.7075,10,10.01
0.71,10,10.01
0.7125,10,10.01
0.715,10,10.01
0.7175,10,10.01
0.72,10,10.01
0.7225,10,10.01
0.725,10,10.01
0.7275,10,10.01
0.73,10,10.01
0.7325,10,10.01
0.735,10,10.01
0.7375,10,10.01
0.74,10,10.01
0.7425,10,10.01
0.745,10,10.011
0.7475,10,10.011
0.75,10,10.011
0.7525,10,10.011
0.755,10,10.011
0.7575,10,10.011
0.76,10,10.011
0.7625,10,10.011
0.765,10,10.011
0.7675,10,10.011
0.77,10,10.011
0.7725,10,10.011
0.775,10,10.011
0.7775,10,10.011
0.78,10,10.011
0.7825,10,10.011
0.785,10,10.011
0.7875,10,10.011
0.79,10,10.011
0.7925,10,10.011
0.795,10,10.011
0.7975,10,10.011
0.8,10,10.011
0.8025,10,10.011
0.805,10,10.011
0.8075,10,10.011
0.81,10,10.011
0.8125,10,10.011
0.815,10,10.011
0.8175,10,10.012
0.82,10,10.012
0.8225,10,10.012
0.825,10,10.012
0.8275,10,10.012
0.83,10,10.012
0.8325,10,10.012
0.835,10,10.012
0.8375,10,10.012
0.84,10,10.012
0.8425,10,10.012
0.845,10,10.012
0.8475,10,10.012
0.85,10,10.012
0.8525,10,10.012
0.855,10,10.012
0.8575,10,10.012
0.86,10,10.012
0.8625,10,10.012
0.865,10,10.012
0.8675,10,10.012
0.87,10,10.012
0.8725,10,10.012
0.875,10,10.012
0.8775,10,10.012
0.88,10,10.012
0.8825,10,10.012
0.885,10,10.012
0.8875,10,10.013
0.89,10,10.013
0.8925,10,10.013
0.895,10,10.013
0.8975,10,10.013
0.9,10,10.013
0.9025,10,10.013
0.905,10,10.013
0.9075,10,10.013
0.91,10,10.013
0.9125,10,10.013
0.915,10,10.013
0.9175,10,10.013
0.92,10,10.013
0.9225,10,10.013
0.925,10,10.013
0.9275,10,10.013
0.93,10,10.013
0.9325,10,10.013
0.935,10,10.013
0.9375,10,10.013
0.94,10,10.013
0.9425,10,10.013
0.945,10,10.013
0.9475,10,10.013
0.95,10,10.013
0.9525,10,10.013
0.955,10,10.013
0.9575,10,10.014
0.96,10,10.014
0.9625,10,10.014
0.965,10,10.014
0.9675,10,10.014
0.97,10,10.014
0.9725,10,10.014
0.975,10,10.014
0.9775,10,10.014
0.98,10,10.014
0.9825,10,10.014
0.985,10,10.014
0.9875,10,10.014
0.99,10,10.014
0.9925,10,10.014
0.995,10,10.014
0.9975,10,10.014
1,10,10.014
1.0025,10,10.014
1.005,10,10.014
1.0075,10,10.014
1.01,10,10.014
1.0125,10,10.014
1.015,10,10.014
1.0175,10,10.014
1.02,10,10.014
1.0225,10,10.014
1.025,10,10.014
1.0275,10,10.014
1.03,10,10.015
1.0325,10,10.015
1.035,10,10.015
1.0375,10,10.015
1.04,10,10.015
1.0425,10,10.015
1.045,10,10.015
1.0475,10,10.015
1.05,10,10.015
1.0525,10,10.015
1.055,10,10.015
1.0575,10,10.015
1.06,10,10.015
1.0625,10,10.015
1.065,10,10.015
1.0675,10,10.015
1.07,10,10.015
1.0725,10,10.015
1.075,10,10.015
1.0775,10,10.015
1.08,10,10.015
1.0825,10,10.015
1.085,10,10.015
1.0875,10,10.015
1.09,10,10.015
1.0925,10,10.015
1.095,10,10.015
1.0975,10,10.015
1.1,10,10.016
1.1025,10,10.016
1.105,10,10.016
1.1075,10,10.016
1.11,10,10.016
1.1125,10,10.016
1.115,10,10.016
1.1175,10,10.016
1.12,10,10.016
1.1225,10,10.016
1.125,10,10.016
1.1275,10,10.016
1.13,10,10.016
1.1325,10,10.016
1.135,10,10.016
1.1375,10,10.016
1.14,10,10.016
1.1425,10,10.016
1.145,10,10.016
1.1475,10,10.016
1.15,10,10.016
1.1525,10,10.016
1.155,10,10.016
1.1575,10,10.016
1.16,10,10.016
1.1625,10,10.016
1.165,10,10.016
1.1675,10,10.016
1.17,10,10.017
1.1725,10,10.017
1.175,10,10.017
1.1775,10,10.017
1.18,10,10.017
1.1825,10,10.017
1.185,10,10.017
1.1875,10,10.017
1.19,10,10.017
1.1925,10,10.017
1.195,10,10.017
1.1975,10,10.017
1.2,10,10.017
1.2025,10,10.017
1.205,10,10.017
1.2075,10,10.017
1.21,10,10.017
1.2125,10,10.017
1.215,10,10.017
1.2175,10,10.017
1.22,10,10.017
1.2225,10,10.017
1.225,10,10.017
1.2275,10,10.017
1.23,10,10.017
1.2325,10,10.017
1.235,10,10.017
1.2375,10,10.017
1.24,10,10.018
1.2425,10,10.018
1.245,10,10.018
1.2475,10,10.018
1.25,10,10.018
1.2525,10,10.018
1.255,10,10.018
1.2575,10,10.018
1.26,10,10.018
1.2625,10,10.018
1.265,10,10.018
1.2675,10,10.018
1.27,10,10.018
1.2725,10,10.018
1.275,10,10.018
1.2775,10,10.018
1.28,10,10.018
1.2825,10,10.018
1.285,10,10.018
1.2875,10,10.018
1.29,10,10.018
1.2925,10,10.018
1.295,10,10.018
1.2975,10,10.018
1.3,10,10.018
1.3025,10,10.018
1.305,10,10.018
1.3075,10,10.018
1.31,10,10.018
1.3125,10,10.019
1.315,10,10.019
1.3175,10,10.019
1.32,10,10.019
1.3225,10,10.019
1.325,10,10.019
1.3275,10,10.019
1.33,10,10.019
1.3325,10,10.019
1.335,10,10.019
1.3375,10,10.019
1.34,10,10.019
1.3425,10,10.019
1.345,10,10.019
1.3475,10,10.019
1.35,10,10.019
1.3525,10,10.019
1.355,10,10.019
1.3575,10,10.019
1.36,10,10.019
1.3625,10,10.019
1.365,10,10.019
1.3675,10,10.019
1.37,10,10.019
1.3725,10,10.019
1.375,10,10.019
1.3775,10,10.019
1.38,10,10.019
1.3825,10,10.02
1.385,10,10.02
1.3875,10,10.02
1.39,10,10.02
1.3925,10,10.02
1.395,10,10.02
1.3975,10,10.02
1.4,10,10.02
1.4025,10,10.02
1.405,10,10.02
1.4075,10,10.02
1.41,10,10.02
1.4125,10,10.02
1.415,10,10.02
1.4175,10,10.02
1.42,10,10.02
1.4225,10,10.02
1.425,10,10.02
1.4275,10,10.02
1.43,10,10.02
1.4325,10,10.02
1.435,10,10.02
1.4375,10,10.02
1.44,10,10.02
1.4425,10,10.02
1.445,10,10.02
1.4475,10,10.02
1.45,10,10.02
1.4525,10,10.021
1.455,10,10.021
1.4575,10,10.021
1.46,10,10.021
1.4625,10,10.021
1.465,10,10.021
1.4675,10,10.021
1.47,10,10.021
1.4725,10,10.021
1.475,10,10.021
1.4775,10,10.021
1.48,10,10.021
1.4825,10,10.021
1.485,10,10.021
1.4875,10,10.021
1.49,10,10.021
1.4925,10,10.021
1.495,10,10.021
1.4975,10,10.021
1.5,10,10.021
1.5025,10,10.021
1.505,10,10.021
1.5075,10,10.021
1.51,10,10.021
1.5125,10,10.021
1.515,10,10.021
1.5175,10,10.021
1.52,10,10.021
1.5225,10,10.021
1.525,10,10.022
1.5275,10,10.022
1.53,10,10.022
1.5325,10,10.022
1.535,10,10.022
1.5375,10,10.022
1.54,10,10.022
1.5425,10,10.022
1.545,10,10.022
1.5475,10,10.022
1.55,10,10.022
1.5525,10,10.022
1.555,10,10.022
1.5575,10,10.022
1.56,10,10.022
1.5625,10,10.022
1.565,10,10.022
1.5675,10,10.022
1.57,10,10.022
1.5725,10,10.022
1.575,10,10.022
1.5775,10,10.022
1.58,10,10.022
1.5825,10,10.022
1.585,10,10.022
1.5875,10,10.022
1.59,10,10.022
1.5925,10,10.022
1.595,10,10.023
1.5975,10,10.023
1.6,10,10.023
1.6025,10,10.023
1.605,10,10.023
1.6075,10,10.023
1.61,10,10.023
1.6125,10,10.023
1.615,10,10.023
1.6175,10,10.023
1.62,10,10.023
1.6225,10,10.023
1.625,10,10.023
1.6275,10,10.023
1.63,10,10.023
1.6325,10,10.023
1.635,10,10.023
1.6375,10,10.023
1.64,10,10.023
1.6425,10,10.023
1.645,10,10.023
1.6475,10,10.023
1.65,10,10.023
1.6525,10,10.023
1.655,10,10.023
1.6575,10,10.023
1.66,10,10.023
1.6625,10,10.023
1.665,10,10.024
1.6675,10,10.024
1.67,10,10.024
1.6725,10,10.024
1.675,10,10.024
1.6775,10,10.024
1.68,10,10.024
1.6825,10,10.024
1.685,10,10.024
1.6875,10,10.024
1.69,10,10.024
1.6925,10,10.024
1.695,10,10.024
1.6975,10,10.024
1.7,10,10.024
1.7025,10,10.024
1.705,10,10.024
1.7075,10,10.024
1.71,10,10.024
1.7125,10,10.024
1.715,10,10.024
1.7175,10,10.024
1.72,10,10.024
1.7225,10,10.024
1.725,10,10.024
1.7275,10,10.024
1.73,10,10.024
1.7325,10,10.024
1.735,10,10.025
1.7375,10,10.025
1.74,10,10.025
1.7425,10,10.025
1.745,10,10.025
1.7475,10,10.025
1.75,10,10.025
1.7525,10,10.025
1.755,10,10.025
1.7575,10,10.025
1.76,10,10.025
1.7625,10,10.025
1.765,10,10.025
1.7675,10,10.025
1.77,10,10.025
1.7725,10,10.025
1.775,10,10.025
1.7775,10,10.025
1.78,10,10.025
1.7825,10,10.025
1.785,10,10.025
1.7875,10,10.025
1.79,10,10.025
1.7925,10,10.025
1.795,10,10.025
1.7975,10,10.025
1.8,10,10.025
1.8025,10,10.025
1.805,10,10.025
1.8075,10,10.026
1.81,10,10.026
1.8125,10,10.026
1.815,10,10.026
1.8175,10,10.026
1.82,10,10.026
1.8225,10,10.026
1.825,10,10.026
1.8275,10,10.026
1.83,10,10.026
1.8325,10,10.026
1.835,10,10.026
1.8375,10,10.026
1.84,10,10.026
1.8425,10,10.026
1.845,10,10.026
1.8475,10,10.026
1.85,10,10.026
1.8525,10,10.026
1.855,10,10.026
1.8575,10,10.026
1.86,10,10.026
1.8625,10,10.026
1.865,10,10.026
1.8675,10,10.026
1.87,10,10.026
1.8725,10,10.026
1.875,10,10.026
1.8775,10,10.027
1.88,10,10.027
1.8825,10,10.027
1.885,10,10.027
1.8875,10,10.027
1.89,10,10.027
1.8925,10,10.027
1.895,10,10.027
1.8975,10,10.027
1.9,10,10.027
1.9025,10,10.027
1.905,10,10.027
1.9075,10,10.027
1.91,10,10.027
1.9125,10,10.027
1.915,10,10.027
1.9175,10,10.027
1.92,10,10.027
1.9225,10,10.027
1.925,10,10.027
1.9275,10,10.027
1.93,10,10.027
1.9325,10,10.027
1.935,10,10.027
1.9375,10,10.027
1.94,10,10.027
1.9425,10,10.027
1.945,10,10.027
1.9475,10,10.028
1.95,10,10.028
1.9525,10,10.028
1.955,10,10.028
1.9575,10,10.028
1.96,10,10.028
1.9625,10,10.028
1.965,10,10.028
1.9675,10,10.028
1.97,10,10.028
1.9725,10,10.028
1.975,10,10.028
1.9775,10,10.028
1.98,10,10.028
1.9825,10,10.028
1.985,10,10.028
1.9875,10,10.028
1.99,10,10.028
1.9925,10,10.028
1.995,10,10.028
1.9975,10,10.028
2,10,10.028
